"data","type","time"
0.0916812513539367,"Signal","0"
0.10971766221397,"Signal","0.025"
0.183502329487886,"Signal","0.05"
0.146461414631038,"Signal","0.075"
0.14781144452528,"Signal","0.1"
0.0690524431240306,"Signal","0.125"
0.130188211958763,"Signal","0.15"
0.17583129476577,"Signal","0.175"
0.156574081119344,"Signal","0.2"
0.0944347092955164,"Signal","0.225"
0.0938144250910123,"Signal","0.25"
0.0480787616518861,"Signal","0.275"
0.0522147961380147,"Signal","0.3"
0.0197031309950658,"Signal","0.325"
0.0652624190460349,"Signal","0.35"
0.0879187393419371,"Signal","0.375"
0.17957022728833,"Signal","0.4"
0.147633050184033,"Signal","0.425"
0.160490240946459,"Signal","0.45"
0.134835377854786,"Signal","0.475"
0.1,"Data","0"
0.08,"Data","0.025"
0.18,"Data","0.05"
0.1,"Data","0.075"
0.2,"Data","0.1"
0.06,"Data","0.125"
0.1,"Data","0.15"
0.16,"Data","0.175"
0.16,"Data","0.2"
0.16,"Data","0.225"
0.14,"Data","0.25"
0.1,"Data","0.275"
0.04,"Data","0.3"
0.02,"Data","0.325"
0.04,"Data","0.35"
0.12,"Data","0.375"
0.32,"Data","0.4"
0.16,"Data","0.425"
0.28,"Data","0.45"
0.18,"Data","0.475"
