"data","type","time"
0.0737181475899648,"Signal","0"
0.0410801297418153,"Signal","0.025"
0.0140896678775907,"Signal","0.05"
0.0318137529073961,"Signal","0.075"
0.0415593758219417,"Signal","0.1"
0.0515013544178449,"Signal","0.125"
0.0488383681624509,"Signal","0.15"
0.0804205906921797,"Signal","0.175"
0.103127937961892,"Signal","0.2"
0.0812080266291796,"Signal","0.225"
0.0872535804934025,"Signal","0.25"
0.0480352907210494,"Signal","0.275"
0.0239813898324112,"Signal","0.3"
0.0188860024013795,"Signal","0.325"
0.0360188442466549,"Signal","0.35"
0.073291705052723,"Signal","0.375"
0.0501479740378318,"Signal","0.4"
0.103538688512396,"Signal","0.425"
0.0880332193965143,"Signal","0.45"
0.107184705598612,"Signal","0.475"
