"data","type","time"
1,"Size","0"
323,"Size","0.1"
2659,"Size","0.2"
4286,"Size","0.3"
4591,"Size","0.4"
5268,"Size","0.5"
6349,"Size","0.6"
4302,"Size","0.7"
4780,"Size","0.8"
4971,"Size","0.9"
5955,"Size","1"
5411,"Size","1.1"
3480,"Size","1.2"
1305,"Size","1.3"
816,"Size","1.4"
616,"Size","1.5"
810,"Size","1.6"
1231,"Size","1.7"
2393,"Size","1.8"
5649,"Size","1.9"
1,"Top 90%","0"
96,"Top 90%","0.1"
231,"Top 90%","0.2"
336,"Top 90%","0.3"
243,"Top 90%","0.4"
385,"Top 90%","0.5"
673,"Top 90%","0.6"
406,"Top 90%","0.7"
435,"Top 90%","0.8"
594,"Top 90%","0.9"
740,"Top 90%","1"
539,"Top 90%","1.1"
237,"Top 90%","1.2"
41,"Top 90%","1.3"
26,"Top 90%","1.4"
25,"Top 90%","1.5"
35,"Top 90%","1.6"
65,"Top 90%","1.7"
149,"Top 90%","1.8"
598,"Top 90%","1.9"
1,"Top 95%","0"
128,"Top 95%","0.1"
339,"Top 95%","0.2"
518,"Top 95%","0.3"
410,"Top 95%","0.4"
603,"Top 95%","0.5"
961,"Top 95%","0.6"
594,"Top 95%","0.7"
628,"Top 95%","0.8"
832,"Top 95%","0.9"
1041,"Top 95%","1"
758,"Top 95%","1.1"
345,"Top 95%","1.2"
57,"Top 95%","1.3"
36,"Top 95%","1.4"
34,"Top 95%","1.5"
52,"Top 95%","1.6"
91,"Top 95%","1.7"
222,"Top 95%","1.8"
864,"Top 95%","1.9"
1,"Top 99%","0"
193,"Top 99%","0.1"
667,"Top 99%","0.2"
1026,"Top 99%","0.3"
899,"Top 99%","0.4"
1228,"Top 99%","0.5"
1720,"Top 99%","0.6"
1108,"Top 99%","0.7"
1188,"Top 99%","0.8"
1418,"Top 99%","0.9"
1803,"Top 99%","1"
1368,"Top 99%","1.1"
672,"Top 99%","1.2"
113,"Top 99%","1.3"
64,"Top 99%","1.4"
55,"Top 99%","1.5"
106,"Top 99%","1.6"
168,"Top 99%","1.7"
451,"Top 99%","1.8"
1534,"Top 99%","1.9"
