"data","type","time"
50,"Top 90%","0"
24.812030075188,"Top 90%","0.1"
23.8442822384428,"Top 90%","0.2"
21.1328976034858,"Top 90%","0.3"
19.8044009779951,"Top 90%","0.4"
22.1276595744681,"Top 90%","0.5"
25.6513026052104,"Top 90%","0.6"
23.0088495575221,"Top 90%","0.7"
24.4851258581236,"Top 90%","0.8"
23.4592445328032,"Top 90%","0.9"
25.5060728744939,"Top 90%","1"
24.7216035634744,"Top 90%","1.1"
21.578947368421,"Top 90%","1.2"
14.8387096774194,"Top 90%","1.3"
16.1290322580645,"Top 90%","1.4"
16.260162601626,"Top 90%","1.5"
20.4188481675393,"Top 90%","1.6"
20.6185567010309,"Top 90%","1.7"
23.6318407960199,"Top 90%","1.8"
60,"Top 95%","0"
32.7067669172932,"Top 95%","0.1"
32.360097323601,"Top 95%","0.2"
29.8474945533769,"Top 95%","0.3"
28.1173594132029,"Top 95%","0.4"
30.2127659574468,"Top 95%","0.5"
34.4689378757515,"Top 95%","0.6"
31.6371681415929,"Top 95%","0.7"
32.7231121281465,"Top 95%","0.8"
32.0079522862823,"Top 95%","0.9"
33.8056680161943,"Top 95%","1"
32.5167037861915,"Top 95%","1.1"
28.9473684210526,"Top 95%","1.2"
20,"Top 95%","1.3"
21.7741935483871,"Top 95%","1.4"
21.1382113821138,"Top 95%","1.5"
26.7015706806283,"Top 95%","1.6"
27.319587628866,"Top 95%","1.7"
31.8407960199005,"Top 95%","1.8"
76.6666666666667,"Top 99%","0"
52.6315789473684,"Top 99%","0.1"
52.0681265206813,"Top 99%","0.2"
51.19825708061,"Top 99%","0.3"
49.6332518337408,"Top 99%","0.4"
50.6382978723404,"Top 99%","0.5"
54.7094188376754,"Top 99%","0.6"
51.5486725663717,"Top 99%","0.7"
52.4027459954233,"Top 99%","0.8"
53.6779324055666,"Top 99%","0.9"
53.4412955465587,"Top 99%","1"
52.5612472160356,"Top 99%","1.1"
48.1578947368421,"Top 99%","1.2"
36.1290322580645,"Top 99%","1.3"
37.0967741935484,"Top 99%","1.4"
34.9593495934959,"Top 99%","1.5"
43.979057591623,"Top 99%","1.6"
46.3917525773196,"Top 99%","1.7"
50,"Top 99%","1.8"
