"data","type","time"
100,"90%","0"
29.7213622291022,"90%","0.1"
8.6874764949229,"90%","0.2"
7.83947736817546,"90%","0.3"
5.29296449575256,"90%","0.4"
7.30827638572513,"90%","0.5"
10.6000945030714,"90%","0.6"
9.43747094374709,"90%","0.7"
9.10041841004184,"90%","0.8"
11.949305974653,"90%","0.9"
12.4265323257767,"90%","1"
9.96119016817594,"90%","1.1"
6.81034482758621,"90%","1.2"
3.14176245210728,"90%","1.3"
3.18627450980392,"90%","1.4"
4.05844155844156,"90%","1.5"
4.32098765432099,"90%","1.6"
5.28025995125914,"90%","1.7"
6.22649394066026,"90%","1.8"
10.5859444149407,"90%","1.9"
100,"95%","0"
39.6284829721362,"95%","0.1"
12.7491538172245,"95%","0.2"
12.0858609426038,"95%","0.3"
8.93051622740144,"95%","0.4"
11.4464692482916,"95%","0.5"
15.1362419278627,"95%","0.6"
13.8075313807531,"95%","0.7"
13.1380753138075,"95%","0.8"
16.7370750352042,"95%","0.9"
17.4811083123426,"95%","1"
14.0085012012567,"95%","1.1"
9.91379310344828,"95%","1.2"
4.36781609195402,"95%","1.3"
4.41176470588235,"95%","1.4"
5.51948051948052,"95%","1.5"
6.41975308641975,"95%","1.6"
7.3923639317628,"95%","1.7"
9.27705808608441,"95%","1.8"
15.2947424322889,"95%","1.9"
100,"99%","0"
59.7523219814241,"99%","0.1"
25.084618277548,"99%","0.2"
23.9384041063929,"99%","0.3"
19.5817904595949,"99%","0.4"
23.3105542900532,"99%","0.5"
27.0908804536147,"99%","0.6"
25.7554625755463,"99%","0.7"
24.8535564853557,"99%","0.8"
28.5254475960571,"99%","0.9"
30.2770780856423,"99%","1"
25.2818333025319,"99%","1.1"
19.3103448275862,"99%","1.2"
8.65900383141762,"99%","1.3"
7.84313725490196,"99%","1.4"
8.92857142857143,"99%","1.5"
13.0864197530864,"99%","1.6"
13.6474411047929,"99%","1.7"
18.84663602173,"99%","1.8"
27.155248716587,"99%","1.9"
